date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,50.354838709677416,458.5000000000001,4.499999999999986,31,1.6,4,0,1.18,0,7,18.30322580645161,53.5516129032258,3.52870967741935
2000-02-01,58.01379310344828,226.3,23.700000000000003,29,3.3,5,1,0.0,0,1,19.26551724137931,52.12413793103448,7.561206896551724
2000-03-01,60.87096774193548,169.8,41.79999999999998,31,2.9299999999999997,9,1,0.0,0,0,19.4741935483871,62.667741935483875,1.9264516129032145
2000-04-01,65.55666666666667,75.3,92.0,30,4.07,7,2,0.0,0,0,19.243333333333332,58.443333333333335,-1.2245000000000061
2000-05-01,76.66774193548386,1.1000000000000014,362.80000000000007,31,3.27,10,0,0.0,10,0,20.0258064516129,56.9741935483871,2.041935483870958
2000-06-01,79.60666666666665,0.0,438.19999999999993,30,5.89,13,1,0.0,11,0,17.13,73.85,-2.819000000000017
2000-07-01,87.48064516129033,0.0,696.9,31,0.0,0,0,0.0,29,0,16.60967741935484,41.40967741935484,1.492258064516136
2000-08-01,90.51935483870967,0.0,791.1,31,0.0,0,0,0.0,31,0,14.548387096774194,27.825806451612905,4.045967741935485
2000-09-01,80.40666666666667,14.100000000000009,476.30000000000007,30,0.17,1,0,0.0,18,0,14.943333333333333,30.566666666666666,0.9565000000000055
2000-10-01,68.96451612903226,67.9,190.80000000000004,31,4.39,9,2,0.0,4,0,16.990322580645163,71.45161290322581,0.6569354838709671
2000-11-01,50.126666666666665,453.70000000000005,7.5,30,6.96,13,1,0.0,0,2,15.45,62.44666666666667,-7.117833333333337
2000-12-01,39.40967741935484,793.2999999999998,0.0,31,3.58,8,2,0.0,0,17,17.532258064516128,63.23548387096774,-8.831451612903216
2001-01-01,41.95161290322581,714.5,0.0,31,1.79,7,0,0.0,0,5,12.12258064516129,53.21612903225807,-4.8745161290322585
2001-02-01,49.55714285714286,439.6,7.200000000000003,28,6.21,10,3,0.0,0,5,18.157142857142855,65.75,-0.8954433497536982
2001-03-01,51.519354838709674,417.90000000000003,0.0,31,5.29,11,1,0.0,0,0,15.33548387096774,64.83548387096775,-7.425161290322592
